city,lng,lat
盘锦,122.0732278,41.14124802
蓬莱,120.8626943,37.66116041
平凉,106.6889112,35.55011019
莆田,119.077731,25.44845014
萍乡,113.859917,27.63954422
濮阳,115.0266274,35.75329789
攀枝花,101.7224232,26.58757126
曲靖,103.7825389,25.52075814
齐齐哈尔,123.9872889,47.34769981
七台河,131.019048,45.77500537
黔西南州,106.1405028,27.08638457
清远,113.0407733,23.69846855
庆阳,107.6442271,35.72680075
钦州,108.6387981,21.97335047
泉州,118.6003623,24.90165238
荣成,122.4069258,37.12868609
日喀则,88.95606277,29.26816003
乳山,121.529788,36.97657505
日照,119.5071799,35.42022519
韶关,113.5944611,24.80296031
寿光,118.8525335,37.02989185
绥化,126.9890946,46.64606393
石河子,86.04186492,44.30825898
商洛,109.9342082,33.8739074
三明,117.6421939,26.27083528
三门峡,111.1812621,34.78331994
山南,92.22087273,28.35498238
遂宁,105.5648878,30.55749135
四平,124.3913821,43.1755247
商丘,115.6418857,34.43858864
上饶,117.9554639,28.45762255
汕头,116.7286503,23.38390845
汕尾,115.3729243,22.7787305
三亚,109.5227713,18.25777591
邵阳,111.4615254,27.23681124
十堰,110.8012289,32.63699434
松原,124.8329945,45.13604897
双鸭山,131.1714017,46.65510206
朔州,112.4799277,39.33767197
宿州,116.9886924,33.63677239
随州,113.3793584,31.71785761
石嘴山,106.3793372,39.02022328
泰安,117.0894149,36.18807776
塔城地区,82.97488058,46.75868363
太仓,121.1589777,31.5719043
铜川,108.968067,34.9083677
通化,125.9426501,41.73639713
铁岭,123.8548496,42.29975701
通辽,122.2603633,43.63375607
铜陵,117.8194287,30.94092969
吐鲁番地区,89.18159487,42.96047002
铜仁地区,109.1961613,27.72627063
天水,105.7369316,34.58431942
文登,121.9682907,37.16608345
潍坊,119.1426338,36.71611487
瓦房店,121.7906988,39.7089564
威海,122.0939584,37.52878708
乌海,106.8319991,39.68317701
芜湖,118.3841084,31.36601979
吴江,120.6573499,31.00009308
乌兰察布,113.1128464,41.02236295
渭南,109.4839327,34.50235798
文山州,104.0309398,23.41600954
武威,102.6401473,37.93317214
吴忠,106.2082542,37.993561
梧州,111.305472,23.48539464
兴安盟,122.0481665,46.08375707
许昌,113.8353125,34.02673959
宣城,118.7520963,30.95164235
襄阳,112.2500928,32.22916859
孝感,113.9357344,30.92795478
迪庆州,99.7136816,27.83102946
锡林郭勒盟,116.0273397,43.93970484
咸宁,114.3000606,29.88065676
湘潭,112.9355556,27.83509505
新乡,113.9126902,35.30725756
咸阳,108.7075093,34.345373
新余,114.9471174,27.82232156
信阳,114.085491,32.12858231
忻州,112.7279388,38.46103057
雅安,103.0093565,29.99971634
延安,109.5005098,36.60332035
延边州,129.485902,42.8964136
宜宾,104.6330191,28.7696748
宜昌,111.3109811,30.73275782
宜春,114.4000387,27.8111299
运城,111.0068537,35.03885948
伊春,128.9005796,47.74195924
云浮,112.050946,22.93797569
阳江,111.9770098,21.8715173
营口,122.2333914,40.66865107
榆林,109.7459257,38.27943924
玉林,110.1516763,22.64397361
伊犁哈萨克州,81.29785353,43.9222481
阳泉,113.5692376,37.86952949
玉树州,96.71235012,32.90657463
烟台,121.309555,37.53656156
鹰潭,117.0354502,28.2413096
义乌,120.0672956,29.30644391
宜兴,119.7902653,31.36224491
玉溪,102.5450679,24.37044713
益阳,112.3665466,28.58808778
岳阳,113.1461955,29.37800708
永州,111.6146477,26.43597165
淄博,118.0591343,36.80468485
自贡,104.7760713,29.35915689
湛江,110.3650673,21.2574631
诸暨,120.2814344,29.69939952
张家港,120.6272785,31.90781234
张家界,110.4816202,29.12488935
周口,114.6541019,33.62374082
驻马店,114.0491535,32.98315815
章丘,117.4704759,36.76330775
昭通,103.7250207,27.34063296
中卫,105.1967542,37.52112419
张掖,100.4598919,38.9393203
招远,120.4005171,37.34414587
资阳,112.3431214,28.69406943
遵义,106.9312603,27.69996138
枣庄,117.2793054,34.80788308
漳州,117.6762047,24.51706478
株洲,113.1316953,27.82743293
深圳,114.0259737,22.54605355
天津,117.2108131,39.1439299
福州,119.3302211,26.0471255
舟山,122.1698721,30.0360103
青岛,120.3844282,36.1052149
无锡,120.3054559,31.57003745
湖州,120.1372432,30.87792516
成都,104.0679235,30.67994285
重庆,106.530635,29.54460611
石家庄,114.5220818,38.04895831
苏州,120.6199071,31.31798737
连云港,119.1738722,34.60154897
徐州,117.1881066,34.27155343
廊坊,116.7036022,39.51861063
常州,119.981861,31.77139674
宿迁,118.2968934,33.95204973
衡水,115.6862287,37.74692905
兰州,103.8233054,36.06422553
邢台,114.5204868,37.0695312
沧州,116.8638065,38.29761535
哈尔滨,126.6577169,45.77322463
济南,117.0249671,36.68278473
昆明,102.7146011,25.0491531
扬州,119.4277776,32.40850525
杭州,120.2193754,30.25924446
海口,110.3308018,20.02207128
