time,aqi,pm2_5,pm10,so2,co,no2,o3,cityname
2016/9/3,104,78,133,21,1.3,77,68,成都
2016/9/4,72,52,79,14,0.9,50,82,成都
2016/9/5,71,52,75,12,1.2,60,57,成都
2016/9/6,87,65,94,10,1.2,47,123,成都
2016/9/7,107,81,112,14,1.2,59,86,成都
2016/9/8,160,122,195,29,2.1,89,88,成都
2016/9/9,146,112,174,25,2,76,132,成都
2016/9/10,123,94,129,25,1.4,51,90,成都
2016/9/11,60,36,56,11,1,36,112,成都
2016/9/12,114,41,74,13,1,58,175,成都
2016/9/13,105,64,112,20,1.2,65,165,成都
2016/9/14,89,66,98,28,1.2,43,111,成都
2016/9/15,75,55,84,24,1.1,35,78,成都
2016/9/16,88,59,92,26,1.1,51,146,成都
2016/9/17,82,60,97,16,1.2,53,101,成都
2016/9/18,68,39,58,13,0.9,34,121,成都
2016/9/19,93,17,34,8,0.6,33,151,成都
2016/9/20,60,43,67,11,0.9,45,97,成都
2016/9/21,43,26,43,15,1,36,74,成都
2016/9/22,81,33,56,18,0.8,41,137,成都
2016/9/23,97,73,113,15,1,70,105,成都
2016/9/24,118,90,123,11,1.1,55,140,成都
2016/9/25,80,57,111,12,0.7,39,83,成都
2016/9/26,122,81,194,13,0.6,46,115,成都
2016/9/27,102,59,154,21,0.6,52,96,成都
2016/9/28,93,65,136,20,0.7,47,101,成都
2016/9/29,61,39,73,8,0.6,30,110,成都
2016/9/30,88,53,94,12,0.8,52,146,成都
2016/10/1,109,82,153,25,1.1,66,129,成都
2016/10/2,85,47,119,14,0.6,45,83,成都
2016/10/3,95,65,139,13,0.7,53,49,成都
2016/10/4,73,42,96,12,0.6,44,97,成都
2016/10/5,79,31,73,10,0.5,29,135,成都
2016/10/6,101,61,112,18,0.8,54,161,成都
2016/10/7,180,136,208,19,1.2,80,203,成都
2016/10/8,185,140,208,22,1.4,90,120,成都
2016/10/9,152,117,156,19,1,61,103,成都
2016/10/10,61,39,62,9,0.8,41,113,成都
2016/10/11,77,41,74,6,0.7,43,132,成都
2016/10/12,113,85,150,25,0.9,54,162,成都
2016/10/13,131,99,147,23,1,58,126,成都
2016/10/14,118,90,132,9,1.1,70,91,成都
2016/10/15,60,31,70,13,0.6,47,101,成都
2016/10/16,92,67,121,14,0.7,51,150,成都
2016/10/17,143,109,172,20,0.9,47,189,成都
2016/10/18,143,110,146,11,0.8,33,176,成都
2016/10/19,100,71,113,9,0.8,37,160,成都
2016/10/20,97,73,144,16,0.8,60,123,成都
2016/10/21,108,81,121,7,0.8,44,153,成都
2016/10/22,98,74,113,14,0.9,59,117,成都
2016/10/23,78,57,89,7,0.8,42,87,成都
2016/10/24,76,41,69,10,0.9,53,131,成都
2016/10/25,86,59,122,9,0.4,35,76,成都
2016/10/26,89,56,128,14,0.5,40,141,成都
2016/10/27,124,90,198,24,0.7,57,112,成都
2016/10/28,132,99,203,16,0.9,62,195,成都
2016/10/29,105,79,126,12,0.8,55,151,成都
2016/10/30,148,85,151,20,0.9,60,213,成都
2016/10/31,184,93,135,11,0.8,36,249,成都
2016/11/1,166,99,147,16,0.9,39,231,成都
2016/11/2,161,123,189,31,1.2,59,162,成都
2016/11/3,74,51,77,17,0.9,36,129,成都
2016/11/4,43,20,34,8,0.6,34,85,成都
2016/11/5,61,42,71,17,0.9,54,103,成都
2016/11/6,78,42,69,7,0.8,46,134,成都
2016/11/7,94,52,94,13,0.8,43,153,成都
2016/11/8,65,47,76,10,0.7,35,112,成都
2016/11/9,66,48,76,10,0.9,54,66,成都
2016/11/10,58,37,66,11,0.9,58,47,成都
2016/11/11,67,46,83,16,0.9,67,44,成都
2016/11/12,54,34,58,7,0.6,39,79,成都
2016/11/13,56,40,59,8,0.7,37,78,成都
2016/11/14,58,36,58,15,0.9,46,109,成都
2016/11/15,66,48,79,14,1,44,99,成都
2016/11/16,71,41,69,17,1,44,125,成都
2016/11/17,110,44,73,16,0.9,48,171,成都
2016/11/18,111,55,92,14,1,56,172,成都
2016/11/19,75,44,75,19,0.8,34,130,成都
2016/11/20,49,24,49,12,0.7,43,87,成都
2016/11/21,96,30,53,8,0.6,40,155,成都
2016/11/22,54,31,54,6,0.7,41,105,成都
2016/11/23,48,32,48,13,0.7,37,94,成都
2016/11/24,36,23,36,11,0.8,34,52,成都
2016/11/25,84,25,43,12,0.9,44,141,成都
2016/11/26,69,30,52,9,1,51,123,成都
2016/11/27,68,49,85,12,1.1,63,89,成都
2016/11/28,84,62,109,17,1.4,63,69,成都
2016/11/29,45,27,45,11,0.8,41,89,成都
2016/11/30,50,29,50,15,0.8,49,73,成都
2016/12/1,53,22,37,8,0.5,32,104,成都
2016/12/2,63,30,53,8,0.6,39,115,成都
2016/12/3,78,45,82,16,0.9,60,134,成都
2016/12/4,98,62,105,13,0.9,61,157,成都
2016/12/5,70,44,77,12,0.7,48,124,成都
2016/12/6,80,59,93,9,1,61,92,成都
2016/12/7,62,45,70,13,0.9,50,62,成都
2016/12/8,87,56,86,11,0.9,50,144,成都
2016/12/9,55,33,48,13,0.8,32,106,成都
2016/12/10,27,11,21,10,0.6,29,54,成都
2016/12/11,43,21,41,12,0.8,44,85,成都
2016/12/12,47,26,47,9,0.8,43,92,成都
2016/12/13,75,31,60,19,0.7,44,130,成都
2016/12/14,76,26,55,11,0.6,32,131,成都
2016/12/15,56,29,56,11,0.6,31,107,成都
2016/12/16,79,41,71,12,0.7,35,135,成都
2016/12/17,89,53,95,13,0.9,53,147,成都
2016/12/18,103,60,111,20,1,60,163,成都
2016/12/19,72,30,56,10,0.7,35,126,成都
2016/12/20,53,33,56,12,0.8,33,83,成都
2016/12/21,64,43,77,17,1,42,110,成都
2016/12/22,97,34,62,19,0.9,44,156,成都
2016/12/23,82,27,57,13,0.8,41,138,成都
2016/12/24,60,16,33,7,0.7,35,112,成都
2016/12/25,98,33,73,13,1.1,56,157,成都
2016/12/26,98,44,89,11,1.1,61,158,成都
2016/12/27,122,62,116,15,1.1,60,184,成都
2016/12/28,74,54,88,11,1.1,60,120,成都
2016/12/29,104,68,116,19,1.5,79,164,成都
2016/12/30,102,76,125,13,1.4,71,129,成都
2016/12/31,43,24,43,9,0.8,40,74,成都
2017/1/1,63,36,54,7,0.8,37,116,成都
2017/1/2,98,43,72,10,1,48,157,成都
2017/1/3,69,51,87,8,1.2,64,114,成都
2017/1/4,75,37,63,11,0.8,38,130,成都
2017/1/5,93,43,70,13,0.9,43,152,成都
2017/1/6,93,51,78,28,1,43,151,成都
2017/1/7,55,21,33,9,0.7,27,106,成都
2017/1/8,32,19,32,9,0.7,27,63,成都
2017/1/9,28,15,28,6,0.8,33,50,成都
2017/1/10,108,45,76,20,1.3,47,169,成都
2017/1/11,68,21,42,13,0.9,38,122,成都
2017/1/12,54,31,58,10,0.9,40,100,成都
2017/1/13,98,37,61,14,0.9,55,158,成都
2017/1/14,96,48,87,14,1,62,155,成都
2017/1/15,67,48,84,13,0.9,58,111,成都
2017/1/16,70,51,87,13,0.9,53,74,成都
2017/1/17,70,51,85,18,0.9,45,58,成都
2017/1/18,76,34,54,11,0.9,44,131,成都
2017/1/19,68,40,71,14,1,45,122,成都
2017/1/20,68,49,83,17,1,45,90,成都
2017/1/21,58,41,65,13,0.9,44,68,成都
2017/1/22,50,34,50,7,0.8,41,82,成都
2017/1/23,85,32,51,6,0.9,43,142,成都
2017/1/24,77,46,86,17,1.1,54,132,成都
2017/1/25,78,58,103,17,1.2,59,89,成都
2017/1/26,52,33,54,13,0.9,40,51,成都
2017/1/27,57,22,35,5,0.7,33,108,成都
2017/1/28,46,25,42,8,0.7,35,91,成都
2017/1/29,49,29,48,8,0.7,34,98,成都
2017/1/30,67,48,77,15,1,47,77,成都
2017/1/31,78,37,67,14,1,46,133,成都
2017/2/1,45,23,45,17,0.8,37,69,成都
2017/2/2,52,29,54,11,0.9,50,64,成都
2017/2/3,86,64,116,17,1.5,69,40,成都
2017/2/4,86,40,68,13,0.9,48,143,成都
2017/2/5,65,47,80,12,0.9,51,94,成都
2017/2/6,92,69,118,20,1.1,59,52,成都
2017/2/7,55,35,59,17,0.8,35,59,成都
2017/2/8,58,38,67,16,1,42,88,成都
2017/2/9,60,43,69,19,1,37,94,成都
2017/2/10,58,35,61,21,0.9,37,109,成都
2017/2/11,61,44,70,15,0.9,34,92,成都
2017/2/12,47,19,36,16,0.7,33,93,成都
2017/2/13,56,33,62,17,0.9,40,64,成都
2017/2/14,38,21,38,12,0.8,34,55,成都
2017/2/15,56,33,61,13,1,46,55,成都
2017/2/16,55,35,60,13,1.2,48,38,成都
2017/2/17,43,24,43,10,1.2,45,37,成都
2017/2/18,31,19,31,11,1,42,57,成都
2017/2/19,55,35,61,13,1.1,49,79,成都
2017/2/20,52,30,53,6,1,47,56,成都
2017/2/21,64,46,71,13,1,45,55,成都
2017/2/22,50,35,51,11,0.8,45,66,成都
2017/2/23,45,27,45,9,0.6,43,64,成都
2017/2/24,49,27,45,8,0.6,40,97,成都
2017/2/25,79,58,94,8,1,68,77,成都
2017/2/26,114,86,140,24,1.2,59,72,成都
2017/2/27,57,40,64,10,0.8,39,68,成都
2017/2/28,63,31,51,11,0.8,42,116,成都
2017/3/1,83,61,110,22,1.2,59,95,成都
2017/3/2,92,69,114,13,1.2,65,70,成都
2017/3/3,67,49,80,10,0.9,43,88,成都
2017/3/4,63,43,76,7,0.9,38,97,成都
2017/3/5,64,44,78,7,0.8,40,80,成都
2017/3/6,61,40,72,12,0.7,36,97,成都
2017/3/7,62,37,74,9,0.7,48,108,成都
2017/3/8,73,54,96,12,0.9,48,111,成都
2017/3/9,113,85,141,25,1,60,115,成都
2017/3/10,133,102,150,38,1.1,55,81,成都
2017/3/11,167,127,206,41,1.7,80,52,成都
2017/3/12,169,128,205,36,1.3,63,48,成都
2017/3/13,66,48,69,7,0.8,33,80,成都
2017/3/14,37,22,37,13,0.6,41,53,成都
2017/3/15,55,32,59,14,0.6,46,36,成都
2017/3/16,70,49,90,16,0.8,54,54,成都
2017/3/17,85,63,105,15,0.9,52,38,成都
2017/3/18,55,39,61,8,0.9,40,30,成都
2017/3/19,68,49,81,14,1.1,48,38,成都
2017/3/20,84,62,98,11,1.2,50,34,成都
2017/3/21,86,64,98,12,1.2,52,63,成都
