city,AQI,PM2.5,PM10,CO,NO2,SO2,O3
焦作,134,102,0,0.8,24,18,75
漯河,107,80,114,0.8,49,7,62
三门峡,64,44,78,0.4,23,8,82
南阳,79,51,108,0.5,27,10,93
商丘,80,52,110,0.7,26,11,72
信阳,0,0,0,0.6,24,7,69
周口,0,0,0,0,0,0,0
驻马店,78,57,96,1,23,20,72
安阳,77,56,66,0.5,24,19,80
开封,69,6,88,0.6,34,9,52
濮阳,67,48,74,0.5,30,8,61
许昌,59,42,65,0.6,30,12,88
新乡,74,54,80,0.6,5,12,97
武汉,128,97,122,0.8,49,5,32
十堰,0,38,74,0.7,29,14,0
宜昌,74,41,97,0.8,42,22,68
鄂州,84,62,84,1.2,33,12,68
荆门,61,40,71,0.7,22,13,70
孝感,31,18,24,0.5,2,7,98
黄冈,57,33,64,0.6,22,16,84
咸宁,77,56,50,0.6,33,10,29
黄石,109,82,122,0.6,19,18,103
恩施,81,58,111,0.9,30,12,64
襄阳,100,75,85,0.7,53,10,47
随州,58,36,65,0.4,34,5,63
荆州,58,32,66,0.6,35,11,80
长沙,59,38,68,0.4,30,19,58
株洲,128,97,105,0.7,26,14,60
湘潭,110,83,105,0.9,31,4,40
常德,67,48,69,0.3,34,10,91
张家界,68,49,67,0.7,34,33,101
益阳,83,61,91,0.6,19,15,81
郴州,89,66,84,0.8,29,13,84
永州,68,49,73,1,22,3,99
怀化,93,69,78,0.8,13,37,102
娄底,53,37,54,0.4,22,15,88
邵阳,63,45,52,0.3,11,8,52
岳阳,85,63,92,0.8,43,19,55
湘西,62,44,68,0.6,17,24,78
衡阳,48,14,48,0.5,20,6,104
广州,42,14,42,0.5,13,13,93
韶关,67,42,83,0.7,35,13,100
深圳,69,45,87,0.8,37,11,96
珠海,74,54,79,0.6,27,16,103
汕头,59,42,61,0.6,18,9,86
佛山,55,38,60,0.7,18,11,101
江门,68,49,60,0.7,23,12,90
肇庆,67,48,76,0.7,22,13,108
惠州,57,33,64,0.6,25,9,102
河源,62,44,64,0.6,22,20,104
清远,68,31,85,0.5,13,10,118
