city,AQI,PM2.5,PM10,CO,NO2,SO2,O3,lng,lat,timestamp,空气质量,省份,所属省份空气质量排名
衡水,185,139,202,1.3,73,14,32,115.6862287,37.74692905,2023-02-28,中度污染,河北省,25
衡阳,48,14,48,0.5,20,6,104,112.5838188,26.89816442,2023-02-28,优级,湖南省,17
葫芦岛,79,58,95,0.9,20,13,110,120.8607576,40.74302988,2023-02-28,良好,辽宁省,27
湖州,67,48,60,0.5,25,8,62,120.1372432,30.87792516,2023-02-28,良好,浙江省,4
怀化,93,69,78,0.8,13,37,102,109.9869588,27.5574829,2023-02-28,良好,湖南省,17
淮安,55,39,48,0.7,13,11,109,119.3132951,33.52834897,2023-02-28,良好,江苏省,11
淮北,68,49,64,0.7,32,14,61,116.7914474,33.96002331,2023-02-28,良好,安徽省,10
黄冈,57,33,64,0.6,22,16,84,114.906618,30.44610894,2023-02-28,良好,湖北省,15
黄山,74,54,95,0.6,36,11,62,118.0775461,30.2777459,2023-02-28,良好,安徽省,10
黄石,109,82,122,0.6,19,18,103,115.0506832,30.21612713,2023-02-28,轻度污染,湖北省,15
惠州,57,33,64,0.6,25,9,102,114.4106581,23.11353985,2023-02-28,良好,广东省,9
吉安,42,29,34,0.8,23,4,70,114.9920387,27.11384765,2023-02-28,优级,江西省,5
吉林,180,64,310,0.7,28,14,88,126.564544,43.87198833,2023-02-28,中度污染,吉林省,23
即墨,83,61,111,0.7,37,13,58,120.5211056,36.4879086,2023-02-28,良好,山东省,21
济南,83,61,105,0.6,23,15,97,117.0249671,36.68278473,2023-02-28,良好,山东省,21
济宁,39,22,39,0.4,15,2,88,116.6007976,35.40212166,2023-02-28,优级,山东省,21
嘉兴,54,36,58,0.3,28,6,86,120.7604277,30.77399224,2023-02-28,良好,浙江省,4
嘉峪关,81,18,112,0.5,11,6,93,98.28163459,39.80239733,2023-02-28,良好,甘肃省,16
佳木斯,48,31,48,0.4,15,10,100,130.2847346,46.8137796,2023-02-28,优级,黑龙江,18
江门,68,49,60,0.7,23,12,90,113.0781253,22.57511678,2023-02-28,良好,广东省,9
