city,AQI,PM2.5,PM10,CO,NO2,SO2,O3
邵阳,19,13,18,0.8,4,6,14
岳阳,43,23,43,0.5,9,20,54
湘西,50,18,50,0.4,12,6,60
衡阳,25,17,21,0.2,4,7,52
广州,24,14,22,0.7,12,12,75
韶关,34,18,34,0.5,4,5,86
深圳,41,14,41,0.2,5,5,66
珠海,30,19,30,0.2,14,8,65
汕头,25,17,21,0.5,5,3,67
佛山,53,19,56,0.7,7,4,63
江门,34,19,34,0.5,2,5,76
肇庆,23,15,21,0.6,7,7,73
惠州,29,14,29,0.4,4,6,28
河源,45,20,45,0.5,5,6,81
清远,36,19,36,0.5,5,4,55
东莞,22,15,22,0.6,5,2,69
中山,17,9,17,0.5,1,6,39
湛江,29,11,29,0.6,2,7,51
茂名,33,14,33,0.4,11,7,83
梅州,37,12,37,0.5,5,6,79
汕尾,0,17,38,0.6,2,0,74
阳江,49,29,49,0.7,11,5,98
潮州,43,28,43,0.4,5,5,87
揭阳,0,0,35,0.6,4,7,66
云浮,48,24,48,0.6,7,4,83
南宁,42,26,42,0.8,13,8,72
柳州,44,22,44,0.6,11,3,66
北海,54,24,58,0.8,14,11,92
桂林,48,33,38,1.3,21,6,47
梧州,53,27,55,0.5,6,3,73
防城港,68,45,86,0.8,13,30,129
钦州,41,27,41,0.7,18,5,60
贵港,0,0,0,0,0,0,0
玉林,53,32,55,0.6,6,1,76
百色,59,42,64,0.3,6,5,108
贺州,0,0,0,0,0,0,0
河池,35,24,34,0.4,3,2,83
来宾,57,40,48,0.5,13,7,90
崇左,39,16,39,1.5,16,21,114
海口,54,38,42,0.3,24,10,40
三亚,53,37,37,0.6,14,2,60
成都,59,42,44,0.3,7,3,77
自贡,56,17,61,0.3,8,6,82
攀枝花,52,32,53,0.8,26,8,29
泸州,20,14,17,0.7,25,1,34
德阳,67,48,54,0.6,12,7,27
绵阳,48,33,45,0.6,17,4,56
广元,62,44,61,0.9,39,8,5
遂宁,21,14,21,0.6,30,4,43
乐山,30,21,23,0.4,7,2,65
南充,82,60,93,0.8,8,2,70
达州,42,29,0,0.5,11,12,79
雅安,24,15,23,0.6,7,2,74
巴中,0,0,0,0,0,0,0
资阳,29,6,27,2.9,13,3,68
甘孜,38,13,20,0.4,5,11,120
内江,51,31,51,0.3,8,4,105
宜宾,37,20,28,0.2,5,5,117
广安,34,19,34,0.8,22,10,37
阿坝,0,0,0,0,0,0,0
凉山,25,17,25,0.5,9,5,80
贵阳,29,7,29,0.4,13,2,26
毕节,43,14,30,0.4,6,7,135
铜仁,40,19,40,0.5,12,8,112
黔西南,46,20,46,0.5,7,3,107
黔南,35,24,34,0.4,7,9,107
黔东南,41,8,10,0.6,3,6,131
昆明,49,25,49,0.5,13,6,104
玉溪,52,35,54,0.4,14,9,107
保山,66,38,81,0.6,12,8,90
昭通,31,20,31,0.5,4,10,62
丽江,42,16,42,0.4,8,8,103
临沧,51,16,51,0.4,10,6,123
西双版纳,37,16,35,0.5,4,6,118
德宏,57,40,62,0.3,5,8,117
大理,62,44,58,0.5,6,5,111
曲靖,65,25,79,0.5,14,6,106
楚雄,37,13,31,0.4,8,8,116
红河,44,5,12,0.4,8,5,138
思茅,28,2,4,0.4,4,9,87
文山,35,9,19,0.5,7,5,111
普洱,25,4,15,0.6,11,6,78
迪庆,37,10,15,0.5,6,3,116
拉萨,32,10,20,0.4,9,9,100
山南,31,9,31,0.1,18,5,68
昌都,51,7,51,0.5,14,10,68
日喀则,41,14,41,0.1,2,7,71
阿里,26,9,26,0.2,19,5,55
那曲,41,19,41,0.4,18,8,61
西安,73,20,96,0.3,11,7,77
铜川,26,12,22,0.4,5,4,82
宝鸡,64,24,77,0.5,9,3,22
咸阳,24,6,16,0.5,6,5,74
渭南,22,12,18,0.5,8,5,69
延安,83,43,115,0.5,16,9,85
汉中,87,51,124,0,12,4,82
榆林,0,0,0,0,0,0,0
安康,58,26,65,0.3,4,5,93
商洛,76,38,102,0.4,5,7,96
兰州,26,16,22,0.1,5,5,82
嘉峪关,100,36,149,0.4,9,5,86
天水,25,10,25,0.2,9,3,73
武威,61,25,71,0.1,7,6,84
平凉,73,44,96,1.1,34,97,99
酒泉,99,35,148,0.4,7,18,90
庆阳,0,0,0,0,0,0,0
定西,0,0,0,0,0,0,0
甘南,120,81,189,0.6,11,10,82
果洛,0,10,0,0.5,6,12,91
海北,28,18,22,0.3,4,4,87
海南,25,15,18,0.5,6,6,79
海西,42,29,0,1,20,4,58
玉树,29,8,0,0.4,4,13,92
黄南,61,18,72,0.5,32,11,68
石嘴山,21,7,21,0.3,19,8,57
吴忠,79,32,108,0.3,9,5,79
固原,30,10,17,0.4,6,9,95
中卫,500,306,1330,0.5,9,11,82
乌鲁木齐,56,20,62,0.5,12,10,65
伊犁哈萨克州,84,50,118,0.5,10,8,74
克拉玛依,20,9,9,0.3,15,3,61
哈密,54,3,57,0.3,20,5,98
和田,0,0,0,0.4,0,0,75
五家渠,36,12,36,0.4,15,2,52
阿勒泰,0,0,0,0,0,0,0
喀什,40,7,29,0.3,6,4,125
